1_0h,,2_0h,,3_0h,,1_12h,,2_12h,,3_12h,,1_24h,,2_24h,,3_24h,,1_36h,,2_36h,,3_36h,,1_48h,,2_48h,,3_48h,
0.172,8.69582380432827E-05,0.172,8.69582380432827E-05,0.172,8.69582380432827E-05,0.258,0.000130437357064924,0.343,0.000173410904935151,0.258,0.000130437357064924,0.343,0.000173410904935151,0.429,0.000216890023956792,0.343,0.000173410904935151,0.343,0.000173410904935151,0.343,0.000173410904935151,0.343,0.000173410904935151,5.237,0.00264767611995739,0.773,0.000390806500043358,0.343,0.000173410904935151
0.172,8.69582380432827E-05,0.172,8.69582380432827E-05,0.172,8.69582380432827E-05,0.258,0.000130437357064924,0.343,0.000173410904935151,0.343,0.000173410904935151,0.343,0.000173410904935151,4.464,0.00225686961991404,0.343,0.000173410904935151,0.343,0.000173410904935151,0.343,0.000173410904935151,0.343,0.000173410904935151,5.494,0.0027776079058709,0.773,0.000390806500043358,0.343,0.000173410904935151
0.258,0.000130437357064924,0.172,8.69582380432827E-05,0.172,8.69582380432827E-05,0.258,0.000130437357064924,0.343,0.000173410904935151,0.343,0.000173410904935151,1.631,0.000824586547956942,4.464,0.00225686961991404,0.343,0.000173410904935151,0.343,0.000173410904935151,0.343,0.000173410904935151,0.343,0.000173410904935151,5.58,0.00282108702489254,2.404,0.0012153930480003,0.343,0.000173410904935151
0.258,0.000130437357064924,0.258,0.000130437357064924,0.172,8.69582380432827E-05,0.343,0.000173410904935151,0.343,0.000173410904935151,0.343,0.000173410904935151,3.348,0.00169265221493553,4.722,0.00238730697697896,0.343,0.000173410904935151,0.343,0.000173410904935151,0.343,0.000173410904935151,0.343,0.000173410904935151,5.752,0.00290804526293583,4.55,0.00230034873893568,0.773,0.000390806500043358
0.258,0.000130437357064924,0.258,0.000130437357064924,0.258,0.000130437357064924,0.343,0.000173410904935151,0.343,0.000173410904935151,0.343,0.000173410904935151,3.348,0.00169265221493553,4.808,0.0024307860960006,0.343,0.000173410904935151,0.343,0.000173410904935151,0.429,0.000216890023956792,0.343,0.000173410904935151,5.924,0.00299500350097911,5.494,0.0027776079058709,3.52,0.00177961045297881
0.343,0.000173410904935151,0.258,0.000130437357064924,0.258,0.000130437357064924,0.343,0.000173410904935151,0.343,0.000173410904935151,0.343,0.000173410904935151,3.348,0.00169265221493553,5.151,0.00260419700093575,0.343,0.000173410904935151,0.343,0.000173410904935151,0.687,0.000347327381021716,0.343,0.000173410904935151,6.439,0.00325537264395754,5.58,0.00282108702489254,3.606,0.00182308957200045
0.343,0.000173410904935151,0.343,0.000173410904935151,0.258,0.000130437357064924,0.343,0.000173410904935151,0.343,0.000173410904935151,0.343,0.000173410904935151,5.237,0.00264767611995739,5.58,0.00282108702489254,0.343,0.000173410904935151,0.429,0.000216890023956792,0.858,0.000433780047913585,0.343,0.000173410904935151,7.04,0.00355922090595762,5.666,0.00286456614391419,4.207,0.00212693783400053
0.343,0.000173410904935151,0.343,0.000173410904935151,0.343,0.000173410904935151,0.343,0.000173410904935151,0.343,0.000173410904935151,0.343,0.000173410904935151,5.408,0.00273412878684926,5.752,0.00290804526293583,0.343,0.000173410904935151,0.515,0.000260369142978434,1.03,0.000520738285956867,0.429,0.000216890023956792,7.469,0.00377611092991441,5.924,0.00299500350097911,4.722,0.00238730697697896
0.343,0.000173410904935151,0.343,0.000173410904935151,0.343,0.000173410904935151,0.343,0.000173410904935151,0.343,0.000173410904935151,0.343,0.000173410904935151,6.095,0.00308145616787098,6.181,0.00312493528689262,0.343,0.000173410904935151,0.601,0.000303848262000075,1.889,0.000955023905021867,0.687,0.000347327381021716,7.641,0.00386306916795769,6.353,0.0032118935249359,4.808,0.0024307860960006
0.343,0.000173410904935151,0.343,0.000173410904935151,0.343,0.000173410904935151,0.343,0.000173410904935151,0.343,0.000173410904935151,0.343,0.000173410904935151,6.525,0.00329885176297918,6.61,0.00334182531084941,0.343,0.000173410904935151,0.601,0.000303848262000075,3.348,0.00169265221493553,1.975,0.000998503024043508,7.726,0.00390604271582792,6.353,0.0032118935249359,5.065,0.00256071788191411
0.343,0.000173410904935151,0.515,0.000260369142978434,0.343,0.000173410904935151,0.343,0.000173410904935151,0.343,0.000173410904935151,0.343,0.000173410904935151,6.61,0.00334182531084941,6.61,0.00334182531084941,0.343,0.000173410904935151,0.601,0.000303848262000075,4.121,0.00208345871497888,1.975,0.000998503024043508,7.898,0.0039930009538712,6.439,0.00325537264395754,5.323,0.00269115523897903
0.343,0.000173410904935151,0.515,0.000260369142978434,0.343,0.000173410904935151,0.343,0.000173410904935151,0.343,0.000173410904935151,0.343,0.000173410904935151,6.696,0.00338530442987105,6.696,0.00338530442987105,0.343,0.000173410904935151,0.687,0.000347327381021716,4.722,0.00238730697697896,2.06,0.00104147657191373,7.898,0.0039930009538712,6.439,0.00325537264395754,5.408,0.00273412878684926
0.343,0.000173410904935151,0.601,0.000303848262000075,0.343,0.000173410904935151,0.343,0.000173410904935151,0.343,0.000173410904935151,0.343,0.000173410904935151,6.696,0.00338530442987105,7.211,0.00364567357284949,0.343,0.000173410904935151,0.687,0.000347327381021716,4.808,0.0024307860960006,3.52,0.00177961045297881,8.156,0.00412343831093613,6.696,0.00338530442987105,5.408,0.00273412878684926
0.343,0.000173410904935151,0.687,0.000347327381021716,0.343,0.000173410904935151,0.343,0.000173410904935151,0.515,0.000260369142978434,0.343,0.000173410904935151,6.696,0.00338530442987105,7.297,0.00368915269187113,0.343,0.000173410904935151,1.03,0.000520738285956867,5.408,0.00273412878684926,4.121,0.00208345871497888,8.242,0.00416691742995777,6.868,0.00347226266791434,5.494,0.0027776079058709
0.343,0.000173410904935151,0.858,0.000433780047913585,0.343,0.000173410904935151,0.343,0.000173410904935151,0.687,0.000347327381021716,0.343,0.000173410904935151,6.782,0.00342878354889269,7.297,0.00368915269187113,0.515,0.000260369142978434,1.03,0.000520738285956867,5.58,0.00282108702489254,4.55,0.00230034873893568,8.242,0.00416691742995777,6.954,0.00351574178693598,5.666,0.00286456614391419
0.343,0.000173410904935151,1.631,0.000824586547956942,0.343,0.000173410904935151,0.343,0.000173410904935151,1.545,0.000781107428935301,0.343,0.000173410904935151,6.954,0.00351574178693598,7.555,0.00381959004893605,0.515,0.000260369142978434,1.03,0.000520738285956867,6.095,0.00308145616787098,4.55,0.00230034873893568,8.327,0.004209890977828,7.04,0.00355922090595762,5.666,0.00286456614391419
0.343,0.000173410904935151,1.803,0.000911544786000225,0.343,0.000173410904935151,0.343,0.000173410904935151,2.661,0.00134532483391381,0.343,0.000173410904935151,7.04,0.00355922090595762,7.555,0.00381959004893605,0.515,0.000260369142978434,1.03,0.000520738285956867,6.61,0.00334182531084941,5.151,0.00260419700093575,8.327,0.004209890977828,7.125,0.00360219445382784,5.838,0.00295152438195747
0.343,0.000173410904935151,2.661,0.00134532483391381,0.343,0.000173410904935151,0.343,0.000173410904935151,3.692,0.00186656869102209,0.343,0.000173410904935151,7.125,0.00360219445382784,7.726,0.00390604271582792,0.515,0.000260369142978434,1.803,0.000911544786000225,6.61,0.00334182531084941,5.237,0.00264767611995739,8.413,0.00425337009684964,7.297,0.00368915269187113,5.838,0.00295152438195747
0.343,0.000173410904935151,2.661,0.00134532483391381,0.343,0.000173410904935151,0.343,0.000173410904935151,3.949,0.0019965004769356,0.343,0.000173410904935151,7.211,0.00364567357284949,7.984,0.00403648007289284,0.601,0.000303848262000075,3.091,0.00156272042902202,6.696,0.00338530442987105,5.408,0.00273412878684926,8.413,0.00425337009684964,7.383,0.00373263181089277,5.838,0.00295152438195747
0.343,0.000173410904935151,3.091,0.00156272042902202,0.343,0.000173410904935151,0.343,0.000173410904935151,4.035,0.00203997959595724,0.515,0.000260369142978434,7.211,0.00364567357284949,8.327,0.004209890977828,0.601,0.000303848262000075,3.692,0.00186656869102209,6.782,0.00342878354889269,5.494,0.0027776079058709,8.413,0.00425337009684964,7.383,0.00373263181089277,6.267,0.00316841440591426
0.343,0.000173410904935151,3.606,0.00182308957200045,0.343,0.000173410904935151,0.343,0.000173410904935151,4.035,0.00203997959595724,0.601,0.000303848262000075,7.211,0.00364567357284949,8.499,0.00429684921587128,0.687,0.000347327381021716,4.035,0.00203997959595724,6.782,0.00342878354889269,6.009,0.00303797704884934,8.499,0.00429684921587128,7.555,0.00381959004893605,6.353,0.0032118935249359
0.343,0.000173410904935151,4.292,0.00216991138187075,0.343,0.000173410904935151,0.343,0.000173410904935151,4.292,0.00216991138187075,0.687,0.000347327381021716,7.297,0.00368915269187113,8.585,0.00434032833489292,0.687,0.000347327381021716,4.378,0.00221339050089239,6.868,0.00347226266791434,6.439,0.00325537264395754,8.499,0.00429684921587128,7.641,0.00386306916795769,6.954,0.00351574178693598
0.343,0.000173410904935151,4.292,0.00216991138187075,0.343,0.000173410904935151,0.343,0.000173410904935151,4.55,0.00230034873893568,1.374,0.000694654762043433,7.469,0.00377611092991441,8.671,0.00438380745391456,0.687,0.000347327381021716,4.55,0.00230034873893568,6.868,0.00347226266791434,6.525,0.00329885176297918,8.585,0.00434032833489292,7.812,0.00394952183484956,6.954,0.00351574178693598
0.343,0.000173410904935151,4.378,0.00221339050089239,0.343,0.000173410904935151,0.343,0.000173410904935151,5.237,0.00264767611995739,2.318,0.00117191392897866,7.469,0.00377611092991441,8.671,0.00438380745391456,0.687,0.000347327381021716,4.636,0.00234382785795732,7.125,0.00360219445382784,6.782,0.00342878354889269,8.585,0.00434032833489292,7.812,0.00394952183484956,7.04,0.00355922090595762
0.343,0.000173410904935151,4.464,0.00225686961991404,0.343,0.000173410904935151,0.343,0.000173410904935151,5.494,0.0027776079058709,2.661,0.00134532483391381,7.469,0.00377611092991441,8.757,0.0044272865729362,0.858,0.000433780047913585,4.636,0.00234382785795732,7.211,0.00364567357284949,6.782,0.00342878354889269,8.671,0.00438380745391456,7.898,0.0039930009538712,7.125,0.00360219445382784
0.343,0.000173410904935151,4.55,0.00230034873893568,0.343,0.000173410904935151,0.343,0.000173410904935151,5.58,0.00282108702489254,3.949,0.0019965004769356,7.555,0.00381959004893605,8.757,0.0044272865729362,1.116,0.000564217404978509,5.58,0.00282108702489254,7.383,0.00373263181089277,6.954,0.00351574178693598,8.757,0.0044272865729362,8.07,0.00407995919191449,7.297,0.00368915269187113
0.343,0.000173410904935151,4.722,0.00238730697697896,0.343,0.000173410904935151,0.343,0.000173410904935151,5.666,0.00286456614391419,4.979,0.00251723876289247,7.555,0.00381959004893605,8.842,0.00447026012080643,1.202,0.00060769652400015,5.58,0.00282108702489254,7.469,0.00377611092991441,7.04,0.00355922090595762,8.757,0.0044272865729362,8.156,0.00412343831093613,7.383,0.00373263181089277
